time_ms,voltage_V,current_mA,true_soc
0,4.120,1051.2,1.00000
1000,4.136,1053.0,0.99989
2000,4.120,1042.2,0.99978
3000,4.124,1050.5,0.99967
4000,4.120,1049.9,0.99956
5000,4.132,1053.5,0.99944
6000,4.136,1050.3,0.99933
7000,4.120,1051.9,0.99922
8000,4.116,1051.5,0.99911
9000,4.124,1053.5,0.99900
10000,4.120,1049.3,0.99889
11000,4.124,1054.9,0.99878
12000,4.120,1048.3,0.99867
13000,4.124,1052.1,0.99856
14000,4.124,1051.7,0.99844
15000,4.120,1058.6,0.99833
16000,4.116,1048.0,0.99822
17000,4.128,1052.5,0.99811
18000,4.112,1049.5,0.99800
19000,4.124,1046.7,0.99789
20000,4.124,1053.0,0.99778
21000,4.120,1047.3,0.99767
22000,4.120,1050.5,0.99756
23000,4.120,1053.5,0.99744
24000,4.116,1052.7,0.99733
25000,4.120,1051.2,0.99722
26000,4.112,1044.2,0.99711
27000,4.112,1048.1,0.99700
28000,4.128,1048.9,0.99689
29000,4.124,1046.5,0.99678
30000,4.112,1043.3,0.99667
31000,4.120,1050.7,0.99656
32000,4.120,1052.8,0.99644
33000,4.108,1048.6,0.99633
34000,4.112,1053.4,0.99622
35000,4.104,1044.9,0.99611
36000,4.116,1046.3,0.99600
37000,4.116,1050.6,0.99589
38000,4.112,1048.3,0.99578
39000,4.108,1052.5,0.99567
40000,4.104,1051.8,0.99556
41000,4.108,1048.5,0.99544
42000,4.112,1045.2,0.99533
43000,4.108,1048.1,0.99522
44000,4.112,1051.9,0.99511
45000,4.108,1052.7,0.99500
46000,4.108,1048.3,0.99489
47000,4.096,1043.3,0.99478
48000,4.100,1044.7,0.99467
49000,4.100,1051.6,0.99456
50000,4.116,1048.5,0.99444
51000,4.112,1048.6,0.99433
52000,4.104,1046.3,0.99422
53000,4.104,1046.2,0.99411
54000,4.092,1053.4,0.99400
55000,4.108,1051.7,0.99389
56000,4.092,1047.6,0.99378
57000,4.100,1050.3,0.99367
58000,4.104,1050.9,0.99356
59000,4.104,1056.4,0.99344
60000,4.104,1045.9,0.99333
61000,4.116,1050.9,0.99322
62000,4.104,1053.3,0.99311
63000,4.092,1055.9,0.99300
64000,4.096,1047.4,0.99289
65000,4.092,1048.4,0.99278
66000,4.100,1052.5,0.99267
67000,4.092,1044.1,0.99256
68000,4.108,1051.3,0.99244
69000,4.124,1058.0,0.99233
70000,4.092,1051.7,0.99222
71000,4.104,1041.5,0.99211
72000,4.096,1046.7,0.99200
73000,4.100,1047.6,0.99189
74000,4.100,1054.3,0.99178
75000,4.092,1049.4,0.99167
76000,4.096,1043.3,0.99156
77000,4.112,1049.8,0.99144
78000,4.108,1050.5,0.99133
79000,4.088,1048.0,0.99122
80000,4.092,1046.1,0.99111
81000,4.092,1058.5,0.99100
82000,4.092,1053.4,0.99089
83000,4.100,1053.7,0.99078
84000,4.096,1049.4,0.99067
85000,4.100,1047.4,0.99056
86000,4.088,1048.2,0.99044
87000,4.096,1044.9,0.99033
88000,4.096,1056.3,0.99022
89000,4.100,1049.5,0.99011
90000,4.096,1055.2,0.99000
91000,4.104,1048.4,0.98989
92000,4.108,1051.7,0.98978
93000,4.084,1050.7,0.98967
94000,4.108,1044.5,0.98956
95000,4.092,1056.9,0.98944
96000,4.108,1048.5,0.98933
97000,4.088,1045.6,0.98922
98000,4.092,1052.6,0.98911
99000,4.092,1050.0,0.98900
100000,4.104,1051.4,0.98889
101000,4.100,1050.4,0.98878
102000,4.092,1041.8,0.98867
103000,4.084,1046.6,0.98856
104000,4.088,1046.5,0.98844
105000,4.080,1053.7,0.98833
106000,4.088,1050.1,0.98822
107000,4.100,1048.7,0.98811
108000,4.104,1052.2,0.98800
109000,4.084,1049.4,0.98789
110000,4.092,1049.1,0.98778
111000,4.084,1050.7,0.98767
112000,4.092,1050.4,0.98756
113000,4.104,1060.1,0.98744
114000,4.088,1046.6,0.98733
115000,4.084,1044.1,0.98722
116000,4.100,1051.3,0.98711
117000,4.084,1047.1,0.98700
118000,4.088,1041.4,0.98689
119000,4.084,1045.8,0.98678
120000,4.088,1046.5,0.98667
121000,4.076,1043.0,0.98656
122000,4.080,1058.5,0.98644
123000,4.104,1045.6,0.98633
124000,4.080,1061.6,0.98622
125000,4.092,1048.5,0.98611
126000,4.080,1056.9,0.98600
127000,4.096,1049.0,0.98589
128000,4.084,1051.7,0.98578
129000,4.076,1049.5,0.98567
130000,4.084,1049.0,0.98556
131000,4.084,1050.9,0.98544
132000,4.096,1051.9,0.98533
133000,4.088,1050.6,0.98522
134000,4.088,1050.2,0.98511
135000,4.088,1047.1,0.98500
136000,4.104,1049.6,0.98489
137000,4.088,1056.3,0.98478
138000,4.076,1046.9,0.98467
139000,4.088,1054.8,0.98456
140000,4.072,1051.9,0.98444
141000,4.088,1053.7,0.98433
142000,4.080,1045.6,0.98422
143000,4.084,1051.1,0.98411
144000,4.084,1048.8,0.98400
145000,4.088,1049.0,0.98389
146000,4.064,1055.9,0.98378
147000,4.088,1049.1,0.98367
148000,4.080,1051.2,0.98356
149000,4.088,1043.0,0.98344
150000,4.072,1056.9,0.98333
151000,4.080,1053.5,0.98322
152000,4.076,1049.8,0.98311
153000,4.096,1048.7,0.98300
154000,4.096,1052.3,0.98289
155000,4.088,1054.7,0.98278
156000,4.088,1057.0,0.98267
157000,4.080,1053.3,0.98256
158000,4.076,1050.3,0.98244
159000,4.072,1054.0,0.98233
160000,4.080,1053.1,0.98222
161000,4.088,1054.7,0.98211
162000,4.088,1057.3,0.98200
163000,4.080,1043.7,0.98189
164000,4.076,1045.3,0.98178
165000,4.088,1056.0,0.98167
166000,4.072,1047.2,0.98156
167000,4.072,1050.1,0.98144
168000,4.084,1047.3,0.98133
169000,4.088,1054.6,0.98122
170000,4.084,1040.8,0.98111
171000,4.084,1050.3,0.98100
172000,4.064,1056.5,0.98089
173000,4.084,1047.6,0.98078
174000,4.092,1043.7,0.98067
175000,4.088,1051.5,0.98056
176000,4.088,1047.7,0.98044
177000,4.080,1054.3,0.98033
178000,4.080,1050.9,0.98022
179000,4.080,1046.5,0.98011
180000,4.084,1049.4,0.98000
181000,4.072,1054.0,0.97989
182000,4.092,1049.5,0.97978
183000,4.072,1047.0,0.97967
184000,4.084,1050.8,0.97956
185000,4.088,1050.0,0.97944
186000,4.084,1053.4,0.97933
187000,4.096,1052.2,0.97922
188000,4.064,1049.2,0.97911
189000,4.076,1056.4,0.97900
190000,4.088,1050.4,0.97889
191000,4.068,1043.6,0.97878
192000,4.072,1043.6,0.97867
193000,4.080,1051.8,0.97856
194000,4.068,1051.1,0.97844
195000,4.076,1040.8,0.97833
196000,4.080,1048.1,0.97822
197000,4.080,1052.8,0.97811
198000,4.080,1053.0,0.97800
199000,4.072,1052.1,0.97789
200000,4.080,1049.3,0.97778
201000,4.072,1053.3,0.97767
202000,4.076,1052.1,0.97756
203000,4.084,1049.5,0.97744
204000,4.064,1042.0,0.97733
205000,4.056,1044.1,0.97722
206000,4.080,1047.3,0.97711
207000,4.076,1048.9,0.97700
208000,4.088,1054.4,0.97689
209000,4.088,1049.7,0.97678
210000,4.068,1050.4,0.97667
211000,4.064,1047.6,0.97656
212000,4.072,1046.4,0.97644
213000,4.088,1053.2,0.97633
214000,4.076,1044.5,0.97622
215000,4.080,1045.8,0.97611
216000,4.060,1049.5,0.97600
217000,4.068,1053.7,0.97589
218000,4.064,1047.9,0.97578
219000,4.076,1047.4,0.97567
220000,4.076,1049.2,0.97556
221000,4.084,1051.4,0.97544
222000,4.060,1048.6,0.97533
223000,4.072,1054.3,0.97522
224000,4.076,1054.5,0.97511
225000,4.076,1049.5,0.97500
226000,4.088,1057.8,0.97489
227000,4.076,1050.3,0.97478
228000,4.068,1054.3,0.97467
229000,4.072,1051.3,0.97456
230000,4.064,1051.3,0.97444
231000,4.056,1043.6,0.97433
232000,4.068,1045.5,0.97422
233000,4.088,1048.8,0.97411
234000,4.064,1054.4,0.97400
235000,4.068,1051.4,0.97389
236000,4.072,1048.9,0.97378
237000,4.068,1052.5,0.97367
238000,4.064,1054.3,0.97356
239000,4.092,1050.0,0.97344
240000,4.084,1050.9,0.97333
241000,4.076,1050.4,0.97322
242000,4.068,1049.8,0.97311
243000,4.076,1046.9,0.97300
244000,4.076,1046.6,0.97289
245000,4.072,1054.3,0.97278
246000,4.076,1048.9,0.97267
247000,4.076,1048.8,0.97256
248000,4.068,1042.7,0.97244
249000,4.060,1042.0,0.97233
250000,4.076,1055.5,0.97222
251000,4.056,1047.1,0.97211
252000,4.064,1038.1,0.97200
253000,4.072,1059.7,0.97189
254000,4.072,1047.8,0.97178
255000,4.068,1043.8,0.97167
256000,4.068,1050.4,0.97156
257000,4.072,1053.2,0.97144
258000,4.064,1052.7,0.97133
259000,4.080,1053.6,0.97122
260000,4.060,1046.1,0.97111
261000,4.068,1055.3,0.97100
262000,4.064,1055.6,0.97089
263000,4.068,1055.8,0.97078
264000,4.080,1051.0,0.97067
265000,4.060,1048.6,0.97056
266000,4.072,1048.2,0.97044
267000,4.072,1043.7,0.97033
268000,4.076,1047.8,0.97022
269000,4.060,1040.4,0.97011
270000,4.060,1043.3,0.97000
271000,4.064,1051.0,0.96989
272000,4.064,1049.0,0.96978
273000,4.060,1050.8,0.96967
274000,4.072,1052.8,0.96956
275000,4.072,1051.5,0.96944
276000,4.084,1051.2,0.96933
277000,4.064,1049.7,0.96922
278000,4.060,1047.0,0.96911
279000,4.060,1045.0,0.96900
280000,4.068,1049.7,0.96889
281000,4.060,1050.2,0.96878
282000,4.072,1053.6,0.96867
283000,4.060,1049.4,0.96856
284000,4.068,1052.2,0.96844
285000,4.064,1044.2,0.96833
286000,4.060,1051.0,0.96822
287000,4.052,1050.8,0.96811
288000,4.076,1055.3,0.96800
289000,4.068,1049.0,0.96789
290000,4.056,1040.4,0.96778
291000,4.056,1048.8,0.96767
292000,4.080,1052.9,0.96756
293000,4.056,1045.3,0.96744
294000,4.076,1050.9,0.96733
295000,4.068,1045.1,0.96722
296000,4.052,1057.3,0.96711
297000,4.060,1044.9,0.96700
298000,4.072,1047.9,0.96689
299000,4.048,1051.0,0.96678
300000,4.120,32.1,0.96667
301000,4.120,35.1,0.96667
302000,4.128,27.5,0.96667
303000,4.128,33.1,0.96667
304000,4.128,23.3,0.96667
305000,4.128,25.9,0.96667
306000,4.128,24.3,0.96667
307000,4.116,26.8,0.96667
308000,4.128,32.9,0.96667
309000,4.140,27.5,0.96667
310000,4.128,28.2,0.96667
311000,4.124,31.1,0.96667
312000,4.124,31.9,0.96667
313000,4.140,28.4,0.96667
314000,4.112,25.8,0.96667
315000,4.152,36.4,0.96667
316000,4.116,28.4,0.96667
317000,4.128,28.8,0.96667
318000,4.124,29.2,0.96667
319000,4.136,32.3,0.96667
320000,4.136,24.0,0.96667
321000,4.132,38.2,0.96667
322000,4.132,28.7,0.96667
323000,4.120,32.5,0.96667
324000,4.132,30.7,0.96667
325000,4.132,37.4,0.96667
326000,4.124,36.7,0.96667
327000,4.136,32.3,0.96667
328000,4.136,26.5,0.96667
329000,4.132,34.9,0.96667
330000,4.136,23.2,0.96667
331000,4.132,26.4,0.96667
332000,4.124,29.7,0.96667
333000,4.140,23.5,0.96667
334000,4.116,27.9,0.96667
335000,4.140,33.1,0.96667
336000,4.128,27.1,0.96667
337000,4.140,33.3,0.96667
338000,4.140,39.5,0.96667
339000,4.136,31.6,0.96667
340000,4.144,33.3,0.96667
341000,4.136,35.0,0.96667
342000,4.136,28.3,0.96667
343000,4.152,33.2,0.96667
344000,4.136,28.2,0.96667
345000,4.136,31.3,0.96667
346000,4.120,33.8,0.96667
347000,4.132,26.7,0.96667
348000,4.132,20.7,0.96667
349000,4.140,26.3,0.96667
350000,4.140,34.5,0.96667
351000,4.140,25.9,0.96667
352000,4.132,34.2,0.96667
353000,4.144,26.4,0.96667
354000,4.148,29.1,0.96667
355000,4.148,29.9,0.96667
356000,4.140,25.9,0.96667
357000,4.132,29.2,0.96667
358000,4.148,23.7,0.96667
359000,4.136,28.6,0.96667
360000,4.152,29.6,0.96667
361000,4.132,20.9,0.96667
362000,4.156,26.3,0.96667
363000,4.148,31.1,0.96667
364000,4.136,25.4,0.96667
365000,4.144,31.8,0.96667
366000,4.140,32.2,0.96667
367000,4.144,31.1,0.96667
368000,4.152,33.1,0.96667
369000,4.124,23.5,0.96667
370000,4.152,34.0,0.96667
371000,4.128,25.9,0.96667
372000,4.152,30.4,0.96667
373000,4.148,37.2,0.96667
374000,4.136,28.5,0.96667
375000,4.144,30.0,0.96667
376000,4.160,25.9,0.96667
377000,4.156,37.1,0.96667
378000,4.152,26.3,0.96667
379000,4.148,32.6,0.96667
380000,4.152,35.0,0.96667
381000,4.152,33.0,0.96667
382000,4.132,31.4,0.96667
383000,4.140,30.3,0.96667
384000,4.160,24.9,0.96667
385000,4.156,36.9,0.96667
386000,4.156,31.0,0.96667
387000,4.148,30.0,0.96667
388000,4.148,25.6,0.96667
389000,4.136,30.2,0.96667
390000,4.148,29.8,0.96667
391000,4.152,37.2,0.96667
392000,4.148,30.0,0.96667
393000,4.144,30.2,0.96667
394000,4.144,25.7,0.96667
395000,4.136,27.0,0.96667
396000,4.152,32.0,0.96667
397000,4.148,22.9,0.96667
398000,4.156,34.0,0.96667
399000,4.148,34.1,0.96667
400000,4.140,26.6,0.96667
401000,4.152,31.4,0.96667
402000,4.156,35.1,0.96667
403000,4.140,29.5,0.96667
404000,4.148,28.7,0.96667
405000,4.144,29.2,0.96667
406000,4.144,31.0,0.96667
407000,4.152,27.5,0.96667
408000,4.152,28.4,0.96667
409000,4.140,31.1,0.96667
410000,4.160,28.1,0.96667
411000,4.132,25.4,0.96667
412000,4.148,22.6,0.96667
413000,4.148,30.1,0.96667
414000,4.128,34.9,0.96667
415000,4.160,31.6,0.96667
416000,4.144,25.5,0.96667
417000,4.140,27.0,0.96667
418000,4.160,28.7,0.96667
419000,4.148,37.3,0.96667
420000,4.088,1057.6,0.96667
421000,4.088,1057.0,0.96656
422000,4.092,1050.5,0.96644
423000,4.096,1062.7,0.96633
424000,4.096,1047.2,0.96622
425000,4.084,1048.6,0.96611
426000,4.088,1053.6,0.96600
427000,4.084,1051.1,0.96589
428000,4.088,1051.3,0.96578
429000,4.088,1042.3,0.96567
430000,4.072,1046.1,0.96556
431000,4.084,1049.8,0.96544
432000,4.088,1047.2,0.96533
433000,4.080,1044.6,0.96522
434000,4.080,1047.7,0.96511
435000,4.072,1051.1,0.96500
436000,4.080,1052.9,0.96489
437000,4.064,1042.4,0.96478
438000,4.080,1050.0,0.96467
439000,4.080,1049.6,0.96456
440000,4.088,1050.9,0.96444
441000,4.068,1045.6,0.96433
442000,4.080,1045.6,0.96422
443000,4.076,1055.0,0.96411
444000,4.064,1040.0,0.96400
445000,4.072,1046.7,0.96389
446000,4.076,1048.4,0.96378
447000,4.084,1048.8,0.96367
448000,4.068,1047.3,0.96356
449000,4.064,1051.9,0.96344
450000,4.076,1051.6,0.96333
451000,4.088,1049.4,0.96322
452000,4.092,1047.5,0.96311
453000,4.064,1049.1,0.96300
454000,4.064,1050.3,0.96289
455000,4.076,1047.0,0.96278
456000,4.068,1052.2,0.96267
457000,4.084,1053.9,0.96256
458000,4.076,1055.7,0.96244
459000,4.056,1055.5,0.96233
460000,4.064,1048.7,0.96222
461000,4.068,1050.5,0.96211
462000,4.088,1049.3,0.96200
463000,4.076,1049.3,0.96189
464000,4.072,1049.1,0.96178
465000,4.072,1050.0,0.96167
466000,4.084,1054.7,0.96156
467000,4.076,1051.2,0.96144
468000,4.068,1045.4,0.96133
469000,4.076,1053.8,0.96122
470000,4.076,1050.8,0.96111
471000,4.076,1052.0,0.96100
472000,4.064,1051.2,0.96089
473000,4.044,1051.3,0.96078
474000,4.040,1051.5,0.96067
475000,4.072,1043.1,0.96056
476000,4.056,1051.9,0.96044
477000,4.076,1047.2,0.96033
478000,4.084,1048.1,0.96022
479000,4.068,1050.0,0.96011
480000,4.068,1056.5,0.96000
481000,4.064,1046.0,0.95989
482000,4.056,1049.9,0.95978
483000,4.060,1049.0,0.95967
484000,4.064,1053.7,0.95956
485000,4.064,1048.9,0.95944
486000,4.068,1050.9,0.95933
487000,4.056,1046.0,0.95922
488000,4.060,1054.4,0.95911
489000,4.068,1044.3,0.95900
490000,4.052,1051.9,0.95889
491000,4.068,1050.9,0.95878
492000,4.068,1051.5,0.95867
493000,4.064,1044.4,0.95856
494000,4.056,1048.8,0.95844
495000,4.072,1053.5,0.95833
496000,4.072,1057.2,0.95822
497000,4.064,1049.6,0.95811
498000,4.060,1053.1,0.95800
499000,4.068,1050.5,0.95789
500000,4.056,1049.8,0.95778
501000,4.064,1048.3,0.95767
502000,4.064,1050.0,0.95756
503000,4.056,1052.7,0.95744
504000,4.064,1053.0,0.95733
505000,4.072,1045.1,0.95722
506000,4.044,1048.0,0.95711
507000,4.052,1045.8,0.95700
508000,4.056,1050.2,0.95689
509000,4.064,1048.7,0.95678
510000,4.060,1051.4,0.95667
511000,4.064,1051.6,0.95656
512000,4.056,1041.6,0.95644
513000,4.056,1041.3,0.95633
514000,4.064,1050.0,0.95622
515000,4.060,1054.8,0.95611
516000,4.060,1048.0,0.95600
517000,4.056,1047.9,0.95589
518000,4.052,1053.9,0.95578
519000,4.060,1053.2,0.95567
520000,4.064,1046.2,0.95556
521000,4.056,1052.8,0.95544
522000,4.048,1047.0,0.95533
523000,4.060,1047.8,0.95522
524000,4.060,1046.2,0.95511
525000,4.052,1045.0,0.95500
526000,4.076,1050.4,0.95489
527000,4.068,1044.5,0.95478
528000,4.056,1050.6,0.95467
529000,4.056,1050.5,0.95456
530000,4.064,1049.4,0.95444
531000,4.064,1048.2,0.95433
532000,4.052,1047.4,0.95422
533000,4.056,1045.7,0.95411
534000,4.052,1055.8,0.95400
535000,4.044,1049.2,0.95389
536000,4.040,1049.1,0.95378
537000,4.056,1046.3,0.95367
538000,4.076,1055.3,0.95356
539000,4.064,1047.7,0.95344
540000,4.052,1051.0,0.95333
541000,4.052,1051.7,0.95322
542000,4.048,1050.4,0.95311
